pituus;syvyys;pinta_ala;pyoreys;lento_km
44,255;22,906;651,137;0,134743533;3588,946757
46,112;23,654;684,202;0,130411733;3649,202627
45,827;23,23;687,847;0,132742269;1123,27682
46,465;23,022;687,153;0,128991713;2366,055726
46,217;24,784;750,34;0,142368806;3760,812589
47,237;24,695;751,624;0,136519997;2366,055726
46,937;24,485;741,739;0,136452251;1123,27682
46,997;23,733;710,409;0,13035522;2917,838862
47,077;24,303;742,218;0,135729475;3900,092851
47,601;24,824;744,898;0,133237017;1386,168062
46,826;24,629;760,614;0,140588708;2434,07033
46,912;25,347;783,515;0,14429114;2107,670956
47,095;24,447;729,521;0,133305615;3649,202627
47,273;23,656;715,902;0,129833718;3568,385178
45,613;23,038;675,004;0,131488968;3723,233188
47,764;24,765;747,681;0,132823589;3642,456084
47,764;24,765;747,681;0,132823589;3649,202627
47,357;25,238;779,199;0,140812195;3649,202627
47,269;25,89;805,287;0,146069016;2424,017815
47,66;24,926;755,012;0,134711919;1123,27682
47,66;24,926;755,012;0,134711919;2845,133822
47,66;24,926;755,012;0,134711919;2378,364912
44,578;24,57;713,526;0,145522078;2424,017815
46,747;24,434;725,786;0,134605046;3760,812589
47,692;25,165;759,63;0,135354059;3588,946757
47,844;24,509;756,88;0,13400849;947,1382484
47,959;25,088;766,876;0,135127939;2366,055726
47,424;24,685;756,86;0,136389028;2554,543392
48,346;24,736;766,571;0,132920368;2414,382004
46,84;24,522;740,739;0,136833263;2554,543392
46,84;24,522;740,739;0,136833263;2554,543392
46,84;24,522;740,739;0,136833263;3588,946757
46,84;24,522;740,739;0,136833263;2201,882163
47,233;24,569;764,113;0,138811924;2537,271231
47,648;24,587;769,73;0,137407142;2366,055726
47,275;25,121;763,197;0,138399278;1119,204531
47,275;25,121;763,197;0,138399278;3026,016127
49,13;25,303;791,167;0,13284184;4429,837815
48,391;24,85;764,606;0,132333182;3760,812589
47,071;24,826;746,564;0,136559035;3649,202627
47,655;25,092;759,83;0,135600014;3350,890701
48,008;24,441;757,29;0,133166578;3499,15356
48,722;24,588;759,554;0,129678711;2422,21903
47,144;23,596;694,852;0,126706735;2145,108197
47,472;25,239;781,489;0,140542624;2917,838862
47,836;24,333;758,983;0,134425785;1123,27682
47,866;25,003;764,488;0,13523112;4013,014592
45,791;25,532;752,715;0,145489135;3110,097562
49,306;25,402;802,135;0,133723634;4070,945946
