"vuosikymmen","sukupuoli_f","pituus_f","syvyys_f","pinta_ala_f","pyoreys_f","lento_km"
"70-l","M","<46.00","<740.0","<740.0","0.1300-0.1399",3588.946757
"90-l","F","46.00-48.99","<740.0","<740.0","0.1300-0.1399",3649.202627
"80-l","M","<46.00","<740.0","<740.0","0.1300-0.1399",1123.27682
"70-l","F","46.00-48.99","<740.0","<740.0","0.1200-0.1299",2366.055726
"70-l","M","46.00-48.99","<740.0","740.0-839.0","0.1400-0.1499",3760.812589
"70-l","M","46.00-48.99","<740.0","740.0-839.0","0.1300-0.1399",2366.055726
"70-l","F","46.00-48.99","<740.0","740.0-839.0","0.1300-0.1399",1123.27682
"70-l","F","46.00-48.99","<740.0","<740.0","0.1300-0.1399",2917.838862
"70-l","F","46.00-48.99","<740.0","740.0-839.0","0.1300-0.1399",3900.092851
"80-l","F","46.00-48.99","<740.0","740.0-839.0","0.1300-0.1399",1386.168062
"70-l","F","46.00-48.99","<740.0","740.0-839.0","0.1400-0.1499",2434.07033
"10-l","F","46.00-48.99","740.0-839.0","740.0-839.0","0.1400-0.1499",2107.670956
"70-l","M","46.00-48.99","<740.0","<740.0","0.1300-0.1399",3649.202627
"10-l","F","46.00-48.99","<740.0","<740.0","0.1200-0.1299",3568.385178
"80-l","F","<46.00","<740.0","<740.0","0.1300-0.1399",3723.233188
"80-l","M","46.00-48.99","<740.0","740.0-839.0","0.1300-0.1399",3642.456084
"80-l","F","46.00-48.99","<740.0","740.0-839.0","0.1300-0.1399",3649.202627
"70-l","M","46.00-48.99","740.0-839.0","740.0-839.0","0.1400-0.1499",3649.202627
"70-l","M","46.00-48.99","740.0-839.0","740.0-839.0","0.1400-0.1499",2424.017815
"80-l","F","46.00-48.99","<740.0","740.0-839.0","0.1300-0.1399",1123.27682
"80-l","F","46.00-48.99","<740.0","740.0-839.0","0.1300-0.1399",2845.133822
"80-l","M","46.00-48.99","<740.0","740.0-839.0","0.1300-0.1399",2378.364912
"70-l","F","<46.00","<740.0","<740.0","0.1400-0.1499",2424.017815
"80-l","M","46.00-48.99","<740.0","<740.0","0.1300-0.1399",3760.812589
"10-l","M","46.00-48.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3588.946757
"70-l","M","46.00-48.99","<740.0","740.0-839.0","0.1300-0.1399",947.1382484
"90-l","M","46.00-48.99","740.0-839.0","740.0-839.0","0.1300-0.1399",2366.055726
"10-l","F","46.00-48.99","<740.0","740.0-839.0","0.1300-0.1399",2554.543392
"70-l","M","46.00-48.99","<740.0","740.0-839.0","0.1300-0.1399",2414.382004
"80-l","F","46.00-48.99","<740.0","740.0-839.0","0.1300-0.1399",2554.543392
"80-l","F","46.00-48.99","<740.0","740.0-839.0","0.1300-0.1399",2554.543392
"80-l","M","46.00-48.99","<740.0","740.0-839.0","0.1300-0.1399",3588.946757
"80-l","M","46.00-48.99","<740.0","740.0-839.0","0.1300-0.1399",2201.882163
"70-l","F","46.00-48.99","<740.0","740.0-839.0","0.1300-0.1399",2537.271231
"80-l","F","46.00-48.99","<740.0","740.0-839.0","0.1300-0.1399",2366.055726
"80-l","M","46.00-48.99","740.0-839.0","740.0-839.0","0.1300-0.1399",1119.204531
"80-l","M","46.00-48.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3026.016127
"70-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",4429.837815
"70-l","F","46.00-48.99","<740.0","740.0-839.0","0.1300-0.1399",3760.812589
"70-l","F","46.00-48.99","<740.0","740.0-839.0","0.1300-0.1399",3649.202627
"70-l","M","46.00-48.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3350.890701
"10-l","F","46.00-48.99","<740.0","740.0-839.0","0.1300-0.1399",3499.15356
"10-l","F","46.00-48.99","<740.0","740.0-839.0","0.1200-0.1299",2422.21903
"90-l","M","46.00-48.99","<740.0","<740.0","0.1200-0.1299",2145.108197
"70-l","F","46.00-48.99","740.0-839.0","740.0-839.0","0.1400-0.1499",2917.838862
"80-l","M","46.00-48.99","<740.0","740.0-839.0","0.1300-0.1399",1123.27682
"00-l","F","46.00-48.99","740.0-839.0","740.0-839.0","0.1300-0.1399",4013.014592
"10-l","F","<46.00","740.0-839.0","740.0-839.0","0.1400-0.1499",3110.097562
"70-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",4070.945946
"70-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",4429.837815
"10-l","F","<46.00","740.0-839.0","740.0-839.0",">=0.1500",4418.096765
"70-l","M","46.00-48.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3298.331417
"70-l","M","46.00-48.99","740.0-839.0","740.0-839.0","0.1400-0.1499",3147.264434
"70-l","F","46.00-48.99","740.0-839.0","740.0-839.0","0.1300-0.1399",2424.017815
"70-l","M","46.00-48.99","<740.0","740.0-839.0","0.1200-0.1299",1123.27682
"00-l","M","46.00-48.99","<740.0","740.0-839.0","0.1300-0.1399",3760.812589
"80-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1200-0.1299",3166.946376
"80-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1200-0.1299",2194.554508
"80-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1200-0.1299",3649.202627
"80-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1200-0.1299",1123.27682
"70-l","M","46.00-48.99","740.0-839.0","740.0-839.0","0.1300-0.1399",2519.53475
"10-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3366.00856
"80-l","F","46.00-48.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3476.1625
"80-l","M","46.00-48.99","<740.0","740.0-839.0","0.1300-0.1399",2951.091772
"00-l","F","46.00-48.99","<740.0","740.0-839.0","0.1300-0.1399",2730.241602
"00-l","M","46.00-48.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3525.788543
"00-l","F","46.00-48.99","<740.0","740.0-839.0","0.1300-0.1399",2554.543392
"70-l","F","46.00-48.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3453.855854
"00-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1200-0.1299",4429.837815
"00-l","M","46.00-48.99","<740.0","<740.0","0.1300-0.1399",2424.017815
"70-l","F","46.00-48.99","740.0-839.0","740.0-839.0","0.1300-0.1399",774.0830123
"00-l","M","46.00-48.99","840.0-939.0","840.0-939.0","0.1400-0.1499",2924.209933
"80-l","M","46.00-48.99","740.0-839.0","740.0-839.0","0.1300-0.1399",2602.634152
"80-l","M","46.00-48.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3649.202627
"80-l","M","46.00-48.99","740.0-839.0","740.0-839.0","0.1300-0.1399",4429.837815
"80-l","M","46.00-48.99","740.0-839.0","740.0-839.0","0.1300-0.1399",2619.654304
"70-l","F","46.00-48.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3323.409678
"90-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3045.846196
"80-l","F","46.00-48.99","740.0-839.0","740.0-839.0","0.1300-0.1399",2424.017815
"80-l","M","46.00-48.99","740.0-839.0","740.0-839.0","0.1300-0.1399",2484.005325
"80-l","M","46.00-48.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3742.605965
"70-l","F","46.00-48.99","740.0-839.0","740.0-839.0","0.1400-0.1499",2424.017815
"80-l","F","49.00-51.99","<740.0","740.0-839.0","0.1300-0.1399",3588.946757
"70-l","F","46.00-48.99","740.0-839.0","740.0-839.0","0.1400-0.1499",3649.202627
"00-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",2636.69391
"70-l","M","<46.00","740.0-839.0","<740.0","0.1400-0.1499",3067.245062
"00-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",2465.035025
"70-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3649.202627
"00-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",4429.837815
"70-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",2519.53475
"70-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",2414.382004
"70-l","M","46.00-48.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3618.651377
"70-l","F","46.00-48.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3760.812589
"70-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3649.202627
"70-l","M","46.00-48.99","740.0-839.0","740.0-839.0","0.1300-0.1399",1274.384833
"70-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",2424.017815
"70-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3649.202627
"00-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3726.207581
"70-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3458.857111
"70-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3586.794151
"00-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1200-0.1299",2924.209933
"70-l","F","46.00-48.99","740.0-839.0","740.0-839.0","0.1300-0.1399",2713.088581
"10-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1200-0.1299",3649.202627
"80-l","F","46.00-48.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3761.532259
"80-l","M","46.00-48.99","740.0-839.0","740.0-839.0","0.1300-0.1399",2444.434627
"10-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",2901.134554
"00-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",2403.5155
"70-l","M","46.00-48.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3742.605965
"90-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1200-0.1299",2344.733126
"10-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",2932.847455
"10-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",2422.21903
"70-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1200-0.1299",3726.207581
"70-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1200-0.1299",3588.946757
"80-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1200-0.1299",2924.209933
"80-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1200-0.1299",2414.382004
"80-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1200-0.1299",2577.659958
"70-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",2344.733126
"70-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3329.297349
"70-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",2414.382004
"80-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3170.488503
"80-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",998.5150397
"90-l","F","49.00-51.99","<740.0","740.0-839.0","0.1200-0.1299",3726.207581
"90-l","F","46.00-48.99","740.0-839.0","740.0-839.0","0.1300-0.1399",2424.017815
"70-l","F","46.00-48.99","740.0-839.0","740.0-839.0","0.1300-0.1399",2295.988221
"80-l","F","49.00-51.99","<740.0","740.0-839.0","0.1200-0.1299",4429.837815
"70-l","M","46.00-48.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3726.207581
"90-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",1817.816774
"00-l","F","46.00-48.99","<740.0","740.0-839.0","0.1300-0.1399",3162.705965
"00-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1200-0.1299",3723.233188
"70-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1200-0.1299",3760.812589
"80-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",2366.055726
"80-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3726.207581
"80-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",4429.837815
"80-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",2366.055726
"70-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1200-0.1299",3742.605965
"00-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3726.207581
"10-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1200-0.1299",3649.202627
"10-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3649.202627
"70-l","F","46.00-48.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3577.07446
"70-l","M","49.00-51.99","<740.0","740.0-839.0","0.1200-0.1299",3588.946757
"90-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3726.207581
"70-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1400-0.1499",3618.651377
"70-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3649.202627
"80-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3649.202627
"70-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3649.202627
"80-l","M","46.00-48.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3649.202627
"00-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3366.00856
"00-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1200-0.1299",3588.946757
"70-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",1864.516254
"10-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1200-0.1299",1123.27682
"70-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1200-0.1299",4429.837815
"80-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",3649.202627
"70-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1200-0.1299",3760.812589
"10-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3576.94649
"70-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",2774.019436
"90-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",4177.577249
"70-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1200-0.1299",2995.10918
"10-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",4429.837815
"80-l","M","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",3649.202627
"70-l","F","49.00-51.99","740.0-839.0","840.0-939.0","0.1300-0.1399",4429.837815
"70-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",2344.733126
"10-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1300-0.1399",2613.629304
"80-l","F","49.00-51.99","740.0-839.0","740.0-839.0","0.1200-0.1299",3723.233188
"80-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1200-0.1299",3531.572589
"80-l","M","49.00-51.99","740.0-839.0","740.0-839.0","0.1200-0.1299",3649.202627
